Sector,Fecha,Hora,Mp10,Mp2_5
centro ,30/04/2019,18,36,33
pedro valdivia ,30/04/2019,18,57,53
santa rosa ,30/04/2019,18,340,330
universidad ,30/04/2019,18,33,32
amanecer ,30/04/2019,19,292,277
centro ,30/04/2019,19,77,71
pedro valdivia ,30/04/2019,19,146,138
santa rosa ,30/04/2019,19,316,300
universidad ,30/04/2019,19,55,53
amanecer ,30/04/2019,20,315,294
centro ,30/04/2019,20,114,105
pedro valdivia ,30/04/2019,20,303,283
santa rosa ,30/04/2019,20,279,261
universidad ,30/04/2019,20,80,78
amanecer ,30/04/2019,21,309,292
centro ,30/04/2019,21,89,83
pedro valdivia ,30/04/2019,21,143,136
santa rosa ,30/04/2019,21,558,491
universidad ,30/04/2019,21,151,148
amanecer ,30/04/2019,22,210,202
centro ,30/04/2019,22,117,109
pedro valdivia ,30/04/2019,22,179,167
santa rosa ,30/04/2019,22,581,509
universidad ,30/04/2019,22,129,127
amanecer ,30/04/2019,23,169,163
centro ,30/04/2019,23,0,0
santa rosa ,30/04/2019,23,268,246
universidad ,30/04/2019,23,159,156
amanecer ,01/05/2019,0,74,72
centro ,01/05/2019,0,0,0
santa rosa ,01/05/2019,0,297,282
universidad ,01/05/2019,0,66,64
amanecer ,01/05/2019,1,67,66
centro ,01/05/2019,1,0,0
santa rosa ,01/05/2019,1,300,287
universidad ,01/05/2019,1,49,47
amanecer ,01/05/2019,2,57,56
centro ,01/05/2019,2,0,0
santa rosa ,01/05/2019,2,237,228
universidad ,01/05/2019,2,43,41
amanecer ,01/05/2019,3,49,48
centro ,01/05/2019,3,0,0
santa rosa ,01/05/2019,3,226,218
universidad ,01/05/2019,3,38,36
amanecer ,01/05/2019,4,38,37
centro ,01/05/2019,4,0,0
santa rosa ,01/05/2019,4,226,220
universidad ,01/05/2019,4,31,29
amanecer ,01/05/2019,5,28,27
centro ,01/05/2019,5,0,0
santa rosa ,01/05/2019,5,219,214
universidad ,01/05/2019,5,21,20
amanecer ,01/05/2019,6,29,28
centro ,01/05/2019,6,0,0
santa rosa ,01/05/2019,6,226,221
universidad ,01/05/2019,6,19,18
amanecer ,01/05/2019,7,20,19
centro ,01/05/2019,7,0,0
santa rosa ,01/05/2019,7,218,215
universidad ,01/05/2019,7,13,12
amanecer ,01/05/2019,8,25,24
centro ,01/05/2019,8,0,0
santa rosa ,01/05/2019,8,231,228
universidad ,01/05/2019,8,18,17
